lo,hi,count
6,7,9
8,10,25
10,11,163
11,13,523
13,16,1331
16,19,482
19,23,462
23,27,142
27,32,384
32,38,14226
38,45,103292
45,54,114327
54,64,146334
64,76,122323
76,91,87104
91,108,104068
108,128,91795
128,152,68357
152,181,49524
181,215,26256
215,256,16716
256,304,14076
304,362,10571
362,431,8678
431,512,8457
512,609,4817
609,724,2047
724,861,1219
861,1024,891
1024,1218,529
1218,1448,299
1448,1722,144
1722,2048,47
2048,2435,12
2435,2896,10
2896,3444,2
4096,4871,2
6889,8192,66
8192,9742,125
9742,11585,37
11585,13777,8
13777,16384,45
16384,19484,9
19484,23170,4
27554,32768,1
32768,38968,1
38968,46341,1
46341,55109,1
55109,65536,4
65536,77936,25
77936,92682,19
92682,110218,9
110218,131072,1
131072,155872,1
155872,185364,2
185364,220436,1
67108864,79806339,1
