lo,hi,count
10,11,1
11,13,497
13,16,1802
16,19,822
19,23,94
23,27,48
27,32,67
32,38,534
38,45,1143
45,54,4368
54,64,19045
64,76,159072
76,91,259563
91,108,119842
108,128,117279
128,152,80378
152,181,68543
181,215,43029
215,256,25649
256,304,20260
304,362,18656
362,431,15203
431,512,20841
512,609,9755
609,724,4883
724,861,3084
861,1024,2285
1024,1218,1460
1218,1448,862
1448,1722,340
1722,2048,138
2048,2435,220
2435,2896,45
2896,3444,11
3444,4096,8
4096,4871,2
5793,6889,1
6889,8192,1
8192,9742,1
9742,11585,6
11585,13777,4
13777,16384,38
16384,19484,17
19484,23170,8
23170,27554,2
32768,38968,5
38968,46341,2
46341,55109,1
55109,65536,17
65536,77936,37
77936,92682,19
92682,110218,7
110218,131072,2
131072,155872,5
220436,262144,1
623487,741455,1
1246974,1482910,1
