strategy,latency_ns,model,fills,shares,equity_micros,per_share_micros,edge_per_share_micros,fees_per_share_micros,drift_1s_micros
touch-maker,0,naive,9133,569207,9239422549,16232,13489,-903,1717
touch-maker,0,optimistic,2667,181857,2079868720,11437,11391,-899,-928
touch-maker,0,mbo,2583,179358,2061763067,11495,11360,-899,-925
touch-maker,0,pessimistic,2540,173494,1939372022,11178,11312,-899,-1017
touch-maker,100000,naive,8806,538224,8706877617,16177,13504,-903,1740
touch-maker,100000,optimistic,2911,196596,2255769519,11474,10458,-900,150
touch-maker,100000,mbo,2829,193673,2221511804,11470,10405,-900,242
touch-maker,100000,pessimistic,2811,189145,2141215227,11320,10333,-900,381
touch-maker,250000,naive,8624,521345,8423152224,16157,13515,-903,1765
touch-maker,250000,optimistic,3065,207061,2403183493,11606,10162,-900,947
touch-maker,250000,mbo,2997,204832,2366280921,11552,10079,-900,948
touch-maker,250000,pessimistic,2960,199791,2293929672,11482,10021,-900,1087
touch-maker,500000,naive,8422,499960,8073565800,16148,13489,-903,1757
touch-maker,500000,optimistic,3235,216973,2520415886,11616,9745,-900,1116
touch-maker,500000,mbo,3153,214678,2495109290,11623,9713,-900,1196
touch-maker,500000,pessimistic,3118,210049,2425481326,11547,9644,-900,1225
touch-maker,1000000,naive,8089,475831,7716762152,16217,13449,-902,1784
touch-maker,1000000,optimistic,3356,223577,2645781015,11834,9583,-900,1496
touch-maker,1000000,mbo,3276,221663,2613151919,11789,9551,-900,1503
touch-maker,1000000,pessimistic,3257,217765,2565044295,11779,9486,-900,1589
touch-maker,2000000,naive,7722,447342,7296212019,16310,13574,-902,1700
touch-maker,2000000,optimistic,3395,222206,2686170248,12089,9617,-900,1662
touch-maker,2000000,mbo,3309,220272,2666348629,12105,9582,-900,1690
touch-maker,2000000,pessimistic,3312,217411,2606394106,11988,9534,-900,1771
touch-maker,5000000,naive,7222,413789,6821788602,16486,13704,-902,1877
touch-maker,5000000,optimistic,3357,219574,2659613561,12113,9683,-900,1584
touch-maker,5000000,mbo,3294,218270,2645424094,12120,9639,-900,1687
touch-maker,5000000,pessimistic,3323,215995,2586359208,11974,9549,-900,1658
